name,ecosystem,purl,owner,owner_kind,owner_name,repository_url,description,latest_version,versions_count,first_release_at,latest_release_at,downloads,downloads_period,dependent_packages_count,dependent_repos_count,forks_count,open_issues_count,archived,fork,repo_size,total_committers,active_maintainer_count,dds,has_security_md,has_code_of_conduct,has_contributing,governance_files_count,advisory_count,max_cvss_score,max_epss_percentage,licenses,rankings_average,criticality,support_tier,health,substitutability,risk
beautifulsoup4,pypi,pkg:pypi/beautifulsoup4,,,,,Screen-scraping library,4.14.3,53,2014-01-21T05:35:05.000Z,2025-11-30T15:08:24.000Z,359337352,last-month,5924,156449,,,False,False,,,0,,False,False,False,0,0,,,MIT License,0.007978620964147563,0.9983,sole_maintainer,0.3371,0.3283,0.6618
guzzlehttp/guzzle,packagist,pkg:composer/guzzlehttp/guzzle,guzzle,organization,Guzzle,https://github.com/guzzle/guzzle,Guzzle is a PHP HTTP client library,7.10.0,153,2011-11-14T01:56:54.000Z,2025-08-23T22:36:01.000Z,1016165374,total,28267,357489,2408,41,False,False,10101,424,1,0.3536781239961452,False,False,False,0,6,8.1,0.81346,MIT,0.00871945440662483,0.9981,foundation,0.3614,0.7866,0.6374
protobuf,pypi,pkg:pypi/protobuf,,,,,,7.34.1,214,2008-07-10T22:36:10.000Z,2026-03-20T17:34:37.000Z,824042984,last-month,3080,107822,,,False,False,,,0,,False,False,False,0,5,8.7,0.00763,3-Clause BSD License,0.008758141403173474,0.9981,sole_maintainer,0.3623,0.4,0.6365
golang.org/x/exp,go,pkg:golang/golang.org/x/exp,,,,https://cs.opensource.google/go/x/exp,,v0.0.0-20260508232706-74f9aab9d74a,227,2013-12-21T00:29:23.000Z,2026-05-08T23:27:06.000Z,,,28047,150501,,,False,False,,,0,,False,False,False,0,0,,,BSD-3-Clause,0.009609514940721738,0.9979,sole_maintainer,0.3735,0.3306,0.6252
monolog/monolog,packagist,pkg:composer/monolog/monolog,Seldaek,user,Jordi Boggiano,https://github.com/Seldaek/monolog,"Sends your logs to files, sockets, inboxes, databases and various web services",3.10.0,87,2011-07-01T19:29:40.000Z,2026-01-02T08:56:05.000Z,989388017,total,6809,557184,1902,46,False,False,4792,518,1,0.5687156421789106,True,False,False,1,1,0.0,,MIT,0.01157161239010024,0.9975,sole_maintainer,0.5284,0.7679,0.4704
react,npm,pkg:npm/react,facebook,organization,Meta,https://github.com/facebook/react,React is a JavaScript library for building user interfaces.,19.2.4,2715,2019-08-01T02:09:19.895Z,2026-01-26T18:23:10.244Z,321778145,last-month,275174,2830385,50968,1234,False,False,963720,1848,13,0.9065162465479758,True,True,True,3,2,6.5,,MIT,0.012083630404458458,0.9974,commercial,0.9518,0.7704,0.0481
activesupport,rubygems,pkg:gem/activesupport,rails,organization,Ruby on Rails,https://github.com/rails/rails,"A toolkit of support libraries and Ruby core extensions extracted from the Rails framework. Rich support for multibyte strings, internationalization, time zones, and testing.",8.1.3,502,2009-07-25T18:35:21.000Z,2026-03-24T20:26:50.866Z,1305744087,total,13637,1358186,22177,1529,False,False,277361,6052,28,0.9368816298559456,True,True,True,3,18,9.8,0.91761,MIT,0.012079853406332818,0.9974,foundation,0.9724,0.9462,0.0275
docutils,pypi,pkg:pypi/docutils,,,,,Docutils -- Python Documentation Utilities,0.22.4,54,2009-12-28T09:54:57.000Z,2025-12-18T19:00:18.000Z,275723451,last-month,2030,102533,,,False,False,,,0,,False,False,False,0,1,9.3,0.00372,"BSD License,GNU General Public License (GPL),Public Domain",0.012747451885247256,0.9973,sole_maintainer,0.3413,0.4,0.6569
phpunit/phpunit,packagist,pkg:composer/phpunit/phpunit,sebastianbergmann,user,Sebastian Bergmann,https://github.com/sebastianbergmann/phpunit,The PHP Unit Testing framework.,13.0.2,773,2012-09-19T05:07:48.000Z,2026-02-10T12:33:24.000Z,891078957,total,122193,777462,2183,121,False,False,149940,525,2,0.23253229615224336,True,True,True,3,4,9.8,0.9421,BSD-3-Clause,0.012345769557043569,0.9973,sole_maintainer,0.7033,0.8725,0.2959
golang.org/x/mod,go,pkg:golang/golang.org/x/mod,,,,https://cs.opensource.google/go/x/mod,,v0.36.0,40,2019-05-31T18:24:31.000Z,2026-05-08T14:58:09.000Z,,,21959,159866,,,False,False,,,0,,False,False,False,0,0,,,BSD-3-Clause,0.01275502267905252,0.9973,sole_maintainer,0.3734,0.1855,0.6249
react-dom,npm,pkg:npm/react-dom,facebook,organization,Meta,https://github.com/facebook/react,React package for working with the DOM.,19.2.4,2670,2019-08-01T02:09:30.414Z,2026-01-26T18:23:18.598Z,295500065,last-month,211813,2621774,45122,1590,False,False,421523,1782,14,0.8848842289209262,True,True,True,3,1,6.1,0.10572,MIT,0.012594720512199904,0.9973,commercial,0.9464,0.7373,0.0535
laravel/framework,packagist,pkg:composer/laravel/framework,laravel,organization,The Laravel Framework,https://github.com/laravel/framework,The Laravel Framework.,v12.51.0,1212,2013-02-08T16:27:25.000Z,2026-02-10T18:20:19.000Z,495772366,total,15019,474622,10996,65,False,False,83876,,11,,True,True,True,3,24,9.9,0.84447,MIT,0.01320141695208619,0.9972,commercial,0.8536,0.805,0.146
commons-collections:commons-collections,maven,pkg:maven/commons-collections/commons-collections,,,,,,3.2.2,17,2005-11-08T22:31:31.000Z,2015-11-12T23:11:26.000Z,,,5134,63019,,,False,False,,,0,,False,False,False,0,2,9.8,0.71461,,0.01295717453447677,0.9972,sole_maintainer,0.125,0.4,0.8725
AFNetworking,cocoapods,pkg:cocoapods/AFNetworking,AFNetworking,organization,AFNetworking,https://github.com/AFNetworking/AFNetworking,A delightful networking framework for Apple platforms.,4.0.1,61,2011-09-15T19:29:29.000Z,2020-04-20T02:21:21.000Z,,,3757,34986,10502,102,True,False,6129,,0,,False,False,True,1,0,,,MIT,0.013141857877166022,0.9972,bernies,0.05,0.7382,0.9473
github.com/docker/docker,go,pkg:golang/github.com/docker/docker,moby,,,https://github.com/docker/docker,,v28.5.2+incompatible,346,2013-03-24T00:48:18.000Z,2025-11-05T14:19:32.000Z,,,16935,40103,18797,3658,False,False,284597,2464,14,0.8423833088136954,True,False,True,2,31,9.8,0.71918,Apache-2.0,0.01365278141762273,0.9971,sole_maintainer,0.8337,0.8929,0.1658
golang.org/x/tools,go,pkg:golang/golang.org/x/tools,,,,,,v0.45.0,64,2021-01-19T22:25:03.000Z,2026-05-08T20:49:05.000Z,,,55832,248775,,,False,False,,,0,,False,False,False,0,0,,,BSD-3-Clause,0.014552119886527418,0.9969,sole_maintainer,0.3735,0.1418,0.6246
text-table,npm,pkg:npm/text-table,,,,https://github.com/substack/text-table,borderless text tables with alignment,0.2.0,5,2013-05-11T10:22:04.274Z,2013-10-05T03:51:26.868Z,164839232,last-month,2289,2282127,,,False,False,,,0,,False,False,False,0,0,,,MIT,0.014353874409827825,0.9969,sole_maintainer,0.125,0.347,0.8723
commons-beanutils:commons-beanutils,maven,pkg:maven/commons-beanutils/commons-beanutils,,,,https://gitbox.apache.org/repos/asf?p=commons-beanutils.git,Apache Commons BeanUtils provides an easy-to-use but flexible wrapper around reflection and introspection.,1.11.0,21,2005-11-08T22:20:21.000Z,2025-05-25T13:18:55.000Z,,,4718,50571,,,False,False,,,0,,False,False,False,0,3,8.8,0.92332,Apache-2.0,0.015628756912719404,0.9966,sole_maintainer,0.294,0.4,0.7036
eslint-plugin-react-hooks,npm,pkg:npm/eslint-plugin-react-hooks,facebook,organization,Meta,https://github.com/facebook/react,ESLint rules for React Hooks,7.0.1,2559,2019-08-01T02:09:11.035Z,2025-10-24T16:55:06.287Z,77956998,last-month,41283,1658186,45747,1565,False,False,365786,1762,0,0.8818603260056826,True,True,True,3,0,,,MIT,0.016373136665859874,0.9965,commercial,0.6742,0.7316,0.3247
org.yaml:snakeyaml,maven,pkg:maven/org.yaml/snakeyaml,snakeyaml,,,https://bitbucket.org/snakeyaml/snakeyaml,YAML 1.1 parser and emitter for Java,2.6,37,2009-08-26T12:14:48.000Z,2026-02-26T20:36:12.000Z,,,3820,25526,,,False,False,19821,,0,,False,False,False,0,8,8.3,0.93796,"Apache License, Version 2.0",0.0187678662071545,0.996,sole_maintainer,0.3573,0.7939,0.6401
nikic/php-parser,packagist,pkg:composer/nikic/php-parser,nikic,user,Nikita Popov,https://github.com/nikic/PHP-Parser,A PHP parser written in PHP,v5.7.0,111,2012-01-05T11:14:35.000Z,2025-12-06T11:56:16.000Z,927658026,total,1454,526041,1083,42,False,False,7595,133,0,0.38813813813813813,False,False,True,1,0,,,BSD-3-Clause,0.020494792366973314,0.9956,sole_maintainer,0.3938,0.7652,0.6035
nesbot/carbon,packagist,pkg:composer/nesbot/carbon,briannesbitt,user,Brian Nesbitt,https://github.com/CarbonPHP/carbon,An API extension for DateTime that supports 281 different languages.,3.11.4,263,2012-09-11T02:21:48.000Z,2026-04-07T09:57:54.000Z,680534379,total,4649,471721,1284,18,False,False,19337,347,1,0.4846521145975443,False,False,True,1,1,6.3,0.00095,MIT,0.020861498393420153,0.9955,sole_maintainer,0.5291,0.7893,0.4688
scheduler,npm,pkg:npm/scheduler,facebook,organization,Meta,https://github.com/facebook/react,Cooperative scheduler for the browser environment.,0.27.0,2559,2019-08-01T02:09:53.963Z,2025-10-01T21:39:15.208Z,332656328,last-month,1394,2143380,50968,1234,False,False,963720,1848,13,0.9065162465479758,True,True,True,3,0,,,MIT,0.02155705061580882,0.9954,commercial,0.9251,0.7704,0.0746
org.apache.commons:commons-compress,maven,pkg:maven/org.apache.commons/commons-compress,,,,https://gitbox.apache.org/repos/asf?p=commons-compress.git,"Apache Commons Compress defines an API for working with compression and archive formats. These include bzip2, gzip, pack200, LZMA, XZ, Snappy, traditional Unix Compress, DEFLATE, DEFLATE64, LZ4, Brotli, Zstandard and ar, cpio, jar, tar, zip, dump, 7z, arj.",1.28.0,35,2009-05-21T16:42:38.000Z,2025-07-26T20:45:40.000Z,,,2934,23921,,,False,False,,,0,,False,False,False,0,11,7.5,0.04396,Apache-2.0,0.021973765061045657,0.9953,sole_maintainer,0.3082,0.4,0.6885
scikit-learn,pypi,pkg:pypi/scikit-learn,scikit-learn,organization,scikit-learn,https://github.com/scikit-learn/scikit-learn,A set of python modules for machine learning and data mining,1.8.0,89,2011-09-22T00:03:10.000Z,2025-12-10T07:07:39.000Z,190327514,last-month,8580,142401,25376,2070,False,False,164327,3076,17,0.9344710139785709,True,True,True,3,3,9.8,0.00883,BSD-3-Clause,0.022529669159297907,0.9952,foundation,0.948,0.9123,0.0518
